SupplierID,SupplierAddress,SupplierName,SupplierContactDetails,ProductID,CarMaker,CarModel,CarColor,CarModelYear,CarPrice,CustomerID,CustomerName,Gender,JobTitle,PhoneNumber,EmailAddress,City,Country,CountryCode,State,CustomerAddress,OrderDate,OrderID,ShipDate,ShipMode,Shipping,PostalCode,Sales,Quantity,Discount,CreditCardType,CreditCard,CustomerFeedback,LeadTime,CalcSales_NoDiscount,CalcSales_WithDiscount,Calculated_Total,Delay
193,87887 Sachs Trail,Fivespan,516-46-0775,2253,Volvo,V50,Puce,2010,633559.05,54340-809,Coleen Chalder,Female,Safety Technician IV,850-196-5273,cchalder5c@wordpress.com,Panama City,United States,US,Florida,2 Maple Wood Parkway,2018-07-26,0179-1435,2019-04-23,Second Class,Truck,32405,766362.46,2,0.49,bankcard,5602247260627920,Good,271,1267118.1,646230.231,646230.23,271
196,987 Buhler Road,Skyndu,346-24-3016,203,Pontiac,Grand Prix,Indigo,1982,592096.26,59054-140,Madelaine Ratray,Female,Software Consultant,914-116-7544,mratray5f@jugem.jp,Bronx,United States,US,New York,6 Bobwhite Court,2019-01-05,0268-6638,2019-04-18,Same Day,Air,10464,925166.65,2,0.51,maestro,60487609781547975,Bad,103,1184192.52,580254.3348,580254.33,103
197,53 Namekagon Center,Oyondu,603-79-6170,743,Pontiac,Firebird,Teal,1991,504433.54,43857-0026,Julia Ettery,Female,Payment Adjustment Coordinator,915-835-1984,jettery5g@skyrock.com,El Paso,United States,US,Texas,68401 Oriole Point,2019-03-29,52959-596,2019-05-31,Standard Class,Air,79999,713196.58,1,0.79,jcb,3548520350532883,Very Good,63,504433.54,105931.04339999998,105931.04,63
198,4 Vahlen Terrace,Gabcube,455-91-1610,5903,Dodge,Durango,Goldenrod,2006,574692.68,61667-001,Penny Stoter,Male,Food Chemist,810-994-0269,pstoter5h@reuters.com,Flint,United States,US,Michigan,90 Mayer Parkway,2018-12-27,43353-538,2019-06-03,Same Day,Truck,48550,914855.62,2,0.77,americanexpress,374622381834026,Good,158,1149385.36,264358.6328,264358.63,158
199,97 Ridgeview Point,Skyble,367-39-7003,7975,Dodge,Stratus,Green,2003,748289.4,51672-4111,Sarina Troy,Female,Mechanical Systems Engineer,601-597-2858,stroy5i@marketwatch.com,Jackson,United States,US,Mississippi,03 Glacier Hill Road,2019-01-15,0517-3415,2019-05-18,Same Day,Truck,39236,914636.14,2,0.39,bankcard,5610731810007535,Okay,123,1496578.8,912913.068,912913.07,123
201,1 Pond Lane,Jazzy,641-37-3900,600,Volkswagen,GTI,Crimson,1991,706191.64,0067-4870,Ariadne Crowth,Female,Database Administrator II,203-112-7711,acrowth5k@angelfire.com,Stamford,United States,US,Connecticut,40532 Moland Circle,2019-01-10,24236-608,2019-02-05,First Class,Air,6922,993717.13,2,0.38,jcb,3562764010484785,Good,26,1412383.28,875677.6336000001,875677.63,26
202,49838 Norway Maple Court,Gigaclub,749-45-5048,6994,Mazda,626,Red,1993,600392.19,53808-0737,Trudi Scapelhorn,Female,Operator,325-245-5031,tscapelhorn5l@booking.com,San Angelo,United States,US,Texas,6 Shoshone Court,2018-10-02,49288-0864,2019-01-18,Same Day,Air,76905,923600.29,2,0.77,jcb,3560111996765542,Bad,108,1200784.38,276180.4074,276180.41,108
203,86 Di Loreto Point,Voonix,650-97-0439,7846,Mercedes-Benz,GL-Class,Yellow,2012,626861.89,60429-981,Gianna Clarson,Female,Database Administrator I,405-284-1776,gclarson5m@myspace.com,Oklahoma City,United States,US,Oklahoma,9909 Old Gate Circle,2019-01-23,35000-586,2019-06-02,Standard Class,Truck,73129,791094.95,2,0.51,jcb,3566542528799050,Okay,130,1253723.78,614324.6522,614324.65,130
204,00932 Upham Place,Photobug,266-97-6904,3029,Saab,9-5,Yellow,2006,694876.95,59062-1227,Karalee Lackmann,Female,Quality Control Specialist,626-290-6033,klackmann5n@jalbum.net,Pasadena,United States,US,California,0384 Talmadge Place,2019-04-12,63402-515,2019-05-09,Second Class,Truck,91199,738823.53,1,0.49,jcb,3547091479337555,Very Bad,27,694876.95,354387.2445,354387.24,27
205,36561 Surrey Parkway,Thoughtbeat,752-91-2144,835,Chevrolet,Express 2500,Green,2000,500952.88,0781-1971,Nananne Itskovitz,Female,Software Test Engineer III,912-128-9397,nitskovitz5o@tamu.edu,Savannah,United States,US,Georgia,412 Autumn Leaf Way,2018-10-08,68645-151,2019-04-02,First Class,Air,31405,721150.82,2,0.87,maestro,5038791675425887,Very Good,176,1001905.76,130247.7488,130247.75,176
206,69 Emmet Way,Youbridge,303-10-2442,7747,Bmw,530,Purple,2002,636917.06,54868-1971,Dorry Bramwich,Female,Quality Engineer,253-722-9953,dbramwich5p@shinystat.com,Tacoma,United States,US,Washington,5570 Anthes Park,2019-02-14,58118-2528,2019-05-03,Second Class,Air,98447,797594.37,1,0.79,jcb,3539522196126400,Okay,78,636917.06,133752.5826,133752.58,78
207,5 Dapin Way,Voonte,601-77-8527,7841,Plymouth,Voyager,Puce,1992,666907.63,51861-010,Tuesday Horsefield,Female,Help Desk Operator,205-723-2069,thorsefield5q@fema.gov,Birmingham,United States,US,Alabama,4 Prairie Rose Junction,2019-01-10,65862-288,2019-01-30,Same Day,Truck,35254,979097.48,1,0.85,jcb,3574420171758006,Very Good,20,666907.63,100036.1445,100036.14,20
208,51 Twin Pines Circle,Photobean,820-82-9655,2491,Gmc,1500,Yellow,1996,621950.59,0121-4675,Jourdain Kingzeth,Male,Assistant Manager,772-959-2301,jkingzeth5r@privacy.gov.au,Fort Pierce,United States,US,Florida,74 Maywood Place,2018-07-25,67877-169,2019-05-17,Standard Class,Air,34949,714287.99,2,0.88,diners-club-enroute,201650846845187,Okay,296,1243901.18,149268.14159999997,149268.14,296
209,5284 Blackbird Trail,Brainlounge,571-38-4231,9366,Pontiac,LeMans,Fuscia,1990,506364.92,66312-110,Garrett Enrdigo,Male,Structural Analysis Engineer,256-904-6031,genrdigo5s@yellowpages.com,Huntsville,United States,US,Alabama,06 Luster Street,2018-11-05,0187-5205,2019-02-22,Same Day,Truck,35810,838836.35,2,0.87,jcb,3587615752394866,Bad,109,1012729.84,131654.8792,131654.88,109
210,3 Nelson Terrace,Snaptags,233-97-6624,1422,Kia,Mentor,Goldenrod,1997,550479.47,57337-061,Haze Asple,Male,Web Developer II,210-561-1749,hasple5t@earthlink.net,San Antonio,United States,US,Texas,3258 Canary Parkway,2019-04-22,69097-148,2019-06-03,Same Day,Air,78225,807463.16,2,0.67,americanexpress,374283949829832,Okay,42,1100958.94,363316.4502,363316.45,42
212,0665 Susan Court,Ainyx,433-04-4627,794,Gmc,Canyon,Goldenrod,2007,712220.24,10819-3737,Broddy Takle,Male,Civil Engineer,808-630-7794,btakle5v@domainmarket.com,Honolulu,United States,US,Hawaii,6 Towne Point,2019-02-15,0591-2230,2019-06-11,Second Class,Truck,96815,931587.86,2,0.89,visa,4910888856279129,Very Bad,116,1424440.48,156688.45279999997,156688.45,116
213,0618 Laurel Drive,Wikizz,705-72-6800,1279,Dodge,Ram 1500,Teal,1994,776503.93,52533-024,Elsa Fayter,Female,Senior Financial Analyst,915-832-1634,efayter5w@disqus.com,El Paso,United States,US,Texas,52 Dryden Plaza,2018-08-02,21695-604,2019-03-26,First Class,Air,79950,720437.79,1,0.74,visa-electron,4026842711490588,Good,236,776503.93,201891.0218,201891.02,236
214,617 Bashford Avenue,Babbleblab,157-37-9651,5021,Chrysler,300,Purple,2010,764549.88,41163-271,Eirena Mardlin,Female,Analyst Programmer,240-369-8151,emardlin5x@i2i.jp,Frederick,United States,US,Maryland,41 Forest Dale Plaza,2018-12-11,41268-215,2019-03-10,First Class,Truck,21705,761905.0,2,0.53,jcb,3536306938245717,Okay,89,1529099.76,718676.8872,718676.89,89
215,6 Talmadge Circle,Kare,829-27-8030,403,Mazda,Miata MX-5,Orange,2001,699037.15,10337-332,Merle Cubberley,Female,Financial Advisor,262-777-9429,mcubberley5y@xing.com,Racine,United States,US,Wisconsin,291 Ramsey Plaza,2019-04-15,44929-001,2019-05-15,Same Day,Truck,53405,907476.0,2,0.83,americanexpress,371948312116529,Good,30,1398074.3,237672.63100000005,237672.63,30
217,18059 Toban Court,Feedfire,882-50-6408,8233,Buick,Century,Aquamarine,1989,591275.55,60681-2105,Meir Poff,Male,Design Engineer,704-708-7878,mpoff60@unesco.org,Charlotte,United States,US,North Carolina,472 Karstens Plaza,2018-06-22,68788-0600,2019-03-27,Same Day,Air,28210,705535.68,2,0.65,mastercard,5215310038597988,Okay,278,1182551.1,413892.885,413892.88,278
218,556 Myrtle Drive,Wikibox,311-27-8922,8261,Pontiac,Firebird,Goldenrod,1989,676966.15,15127-831,Gwendolyn MacConneely,Female,VP Accounting,702-863-4129,gmacconneely61@imgur.com,Las Vegas,United States,US,Nevada,806 Fordem Terrace,2018-10-10,51444-002,2019-01-17,Same Day,Truck,89120,949932.74,1,0.76,maestro,676104965379845239,Very Good,99,676966.15,162471.876,162471.88,99
221,7 Golf Point,Riffpath,377-54-2757,7978,Mazda,Millenia,Maroon,1998,631486.52,11523-7371,Creight Minico,Male,Director of Sales,209-646-9428,cminico64@wikipedia.org,Modesto,United States,US,California,109 Porter Point,2018-11-04,50804-360,2019-04-09,Second Class,Air,95354,802230.91,2,0.38,diners-club-carte-blanche,30115588477406,Okay,156,1262973.04,783043.2848,783043.28,156
222,99 Transport Park,Shuffledrive,830-30-8824,8393,Ford,Focus,Mauv,2004,769767.05,0378-7185,Llywellyn Speedin,Male,Tax Accountant,313-133-8486,lspeedin65@yahoo.co.jp,Detroit,United States,US,Michigan,63596 School Terrace,2018-09-26,67938-2009,2019-04-05,Second Class,Truck,48275,831934.34,1,0.65,jcb,3531685382713873,Very Bad,191,769767.05,269418.4675,269418.47,191
223,5 Hoffman Place,Skipfire,520-91-4887,101,Toyota,Highlander,Yellow,2009,765726.97,49999-598,Richart Lebbon,Male,Associate Professor,716-347-9473,rlebbon66@msn.com,Buffalo,United States,US,New York,7 Crescent Oaks Way,2019-01-24,51672-4030,2019-04-29,Standard Class,Air,14269,712970.25,1,0.54,jcb,3536814911705847,Bad,95,765726.97,352234.4062,352234.41,95
224,134 Meadow Ridge Crossing,Devbug,752-26-0836,6563,Mercedes-Benz,SL-Class,Purple,1995,641603.39,53808-0832,Arnie Bailey,Male,Safety Technician II,954-406-6986,abailey67@harvard.edu,Fort Lauderdale,United States,US,Florida,2022 Gale Court,2019-02-20,49349-069,2019-05-15,Second Class,Truck,33305,950085.83,1,0.64,jcb,3557890951459184,Bad,84,641603.39,230977.2204,230977.22,84
225,007 Delaware Road,Kwinu,557-61-0203,1129,Dodge,Caliber,Goldenrod,2010,680084.14,37000-199,Killy Breton,Male,Assistant Manager,727-142-2842,kbreton68@nationalgeographic.com,Saint Petersburg,United States,US,Florida,567 Artisan Road,2018-08-11,49349-277,2019-06-13,Standard Class,Air,33710,806964.63,1,0.44,jcb,3563114835211642,Okay,306,680084.14,380847.1184,380847.12,306
226,20689 Utah Hill,Leenti,450-37-8265,9501,Chevrolet,3500,Maroon,1998,546129.68,16590-080,Joline Mohun,Female,Dental Hygienist,727-443-5253,jmohun69@ocn.ne.jp,Clearwater,United States,US,Florida,0 Hansons Way,2019-02-13,55714-2203,2019-04-23,Standard Class,Air,34620,826316.28,1,0.3,mastercard,5100138473317499,Very Bad,69,546129.68,382290.776,382290.78,69
227,26 Bluestem Court,Gabcube,869-49-1604,6919,Land Rover,Range Rover,Turquoise,2001,617676.13,67253-264,Miran Poulsum,Female,Business Systems Development Analyst,334-636-2686,mpoulsum6a@g.co,Montgomery,United States,US,Alabama,815 Elka Court,2018-11-16,61919-416,2019-05-17,Second Class,Air,36134,901673.03,2,0.33,solo,676783387008635972,Good,182,1235352.26,827686.0142,827686.01,182
228,6684 Pierstorff Trail,Yodoo,488-80-2732,4349,Geo,Tracker,Aquamarine,1992,793703.68,0591-3602,Vanny Culham,Female,Compensation Analyst,214-138-2512,vculham6b@cnn.com,Dallas,United States,US,Texas,6 Buhler Trail,2018-07-30,49967-033,2019-05-01,First Class,Truck,75372,701839.3,1,0.39,jcb,3551191607950353,Very Good,275,793703.68,484159.2448,484159.24,275
231,71 Stang Point,Yabox,591-32-4673,3893,Chrysler,Concorde,Teal,2002,520771.77,60429-505,Corie Charnick,Female,Senior Quality Engineer,805-515-9050,ccharnick6e@acquirethisname.com,San Luis Obispo,United States,US,California,52 Anderson Pass,2018-10-27,49999-449,2019-03-20,Standard Class,Truck,93407,858094.56,2,0.83,americanexpress,341218340355086,Very Bad,144,1041543.54,177062.40180000005,177062.4,144
233,80 Warrior Point,Avamba,163-52-9668,5849,Mercury,Sable,Maroon,2003,522233.76,52584-024,Georgia Versey,Female,Actuary,212-819-8294,gversey6g@mit.edu,Jamaica,United States,US,New York,1 Cody Way,2018-11-06,43526-103,2019-03-02,Standard Class,Air,11499,809727.39,2,0.84,jcb,3571164034022266,Very Good,116,1044467.52,167114.80320000002,167114.8,116
234,32 Dawn Hill,Twitterwire,412-07-3378,207,Lincoln,Navigator,Indigo,2007,564853.64,36987-1607,Kitty Bryers,Female,VP Product Management,903-705-1528,kbryers6h@google.com,Tyler,United States,US,Texas,8168 School Trail,2019-01-21,52125-245,2019-02-13,Same Day,Truck,75705,905674.77,1,0.87,mastercard,5010123007187534,Very Good,23,564853.64,73430.97320000001,73430.97,23
235,344 Marquette Park,Abatz,499-24-9122,53,Mazda,MPV,Puce,1992,750536.81,49215-0001,Flory Martugin,Female,Human Resources Manager,561-947-1421,fmartugin6i@phoca.cz,Boca Raton,United States,US,Florida,7 Lakeland Terrace,2018-11-04,0093-7394,2019-05-01,First Class,Air,33432,833339.07,2,0.68,jcb,3541491824078696,Good,178,1501073.62,480343.5584,480343.56,178
237,04740 6th Point,Trilith,875-19-0318,4050,Mitsubishi,Starion,Yellow,1987,755397.16,52642-006,Petra Joliffe,Female,Human Resources Manager,770-809-0562,pjoliffe6k@cafepress.com,Atlanta,United States,US,Georgia,8738 Schmedeman Way,2018-12-18,51514-0304,2019-02-06,First Class,Truck,30340,877668.97,2,0.77,maestro,5038940940538117594,Very Bad,50,1510794.32,347482.6936,347482.69,50
239,9 Rusk Parkway,Skimia,869-81-5558,5375,Gmc,Savana 3500,Teal,2007,515971.07,41250-467,Hatty Melmore,Female,Assistant Media Planner,717-315-7277,hmelmore6m@spotify.com,Harrisburg,United States,US,Pennsylvania,93997 Scofield Lane,2019-01-04,63187-185,2019-02-15,First Class,Truck,17105,906670.05,2,0.29,jcb,3544988345053949,Very Good,42,1031942.14,732678.9194,732678.92,42
240,2 Lawn Crossing,Shufflester,342-84-4393,7109,Kia,Sedona,Khaki,2003,748998.64,76237-153,Cindy Gertray,Female,Recruiter,404-979-2302,cgertray6n@mapy.cz,Atlanta,United States,US,Georgia,01044 Dayton Center,2018-11-27,51060-010,2019-04-18,Same Day,Air,30343,918739.46,1,0.74,maestro,676155849491497236,Very Good,142,748998.64,194739.6464,194739.65,142
241,80696 Fisk Street,Thoughtblab,799-32-0894,3508,Mazda,Mazdaspeed 3,Indigo,2007,522598.43,55143-012,Alex Longhi,Female,Pharmacist,513-600-3392,alonghi6o@123-reg.co.uk,Cincinnati,United States,US,Ohio,3356 Burning Wood Pass,2018-11-17,54569-0650,2019-01-17,First Class,Air,45296,951519.83,2,0.59,instapayment,6381536839405791,Very Good,61,1045196.86,428530.7126,428530.71,61
242,3741 Pankratz Crossing,Centimia,664-93-7706,8819,Chevrolet,Corvette,Purple,2000,707930.63,35356-301,Gerti Morston,Female,Account Coordinator,423-360-8605,gmorston6p@unicef.org,Chattanooga,United States,US,Tennessee,8 Rutledge Point,2019-01-20,50970-003,2019-05-29,First Class,Air,37405,896520.79,2,0.38,laser,6709896633835703120,Very Bad,129,1415861.26,877833.9812,877833.98,129
244,0 Barby Center,Yacero,423-48-3505,1422,Volvo,V40,Goldenrod,2004,655763.96,52686-274,Victor Ivan,Male,Graphic Designer,651-514-2942,vivan6r@bravesites.com,Saint Paul,United States,US,Minnesota,07 Harbort Lane,2018-07-14,0363-0459,2019-03-15,First Class,Truck,55127,815360.3,1,0.69,jcb,3573273309289225,Good,244,655763.96,203286.8276,203286.83,244
245,47 Larry Lane,Yakidoo,306-25-6630,2559,Jaguar,XJ Series,Turquoise,1993,669756.37,36987-1048,Deana Chillingworth,Female,Recruiting Manager,850-243-9764,dchillingworth6s@netscape.com,Panama City,United States,US,Florida,762 Calypso Park,2018-09-02,11084-704,2019-05-15,First Class,Air,32412,734353.19,2,0.49,visa-electron,4844438200103137,Bad,255,1339512.74,683151.4974,683151.5,255
246,50049 Montana Point,Bubbletube,610-26-2412,9452,Infiniti,G,Green,2007,530760.44,58411-102,Marne Vinsen,Female,Junior Executive,626-352-3260,mvinsen6t@free.fr,Pasadena,United States,US,California,58 Prentice Crossing,2019-03-24,63739-231,2019-04-20,Second Class,Truck,91125,822574.56,1,0.54,diners-club-carte-blanche,30227384968098,Bad,27,530760.44,244149.8024,244149.8,27
247,41631 Mendota Trail,Meembee,589-42-7665,284,Chevrolet,Camaro,Turquoise,1977,682006.48,68788-9942,Webb Jenk,Male,Financial Advisor,210-663-7834,wjenk6u@a8.net,San Antonio,United States,US,Texas,2 Bunting Crossing,2018-09-13,52993-125,2019-05-11,First Class,Truck,78285,966408.44,1,0.44,mastercard,5108754096615721,Very Bad,240,682006.48,381923.6288,381923.63,240
248,76827 Old Gate Avenue,Eamia,815-68-4554,54,Infiniti,G37,Yellow,2011,753206.05,43269-780,Fidela Gepson,Female,Technical Writer,541-120-8588,fgepson6v@usatoday.com,Eugene,United States,US,Oregon,8823 Mcbride Plaza,2018-11-20,43063-401,2019-03-27,Second Class,Truck,97405,915779.62,2,0.42,mastercard,5002357078832509,Good,127,1506412.1,873719.0180000002,873719.02,127
249,4 Monterey Terrace,Avaveo,897-67-8034,1739,Subaru,XT,Teal,1985,686586.66,16590-244,Enriqueta Blissett,Female,Research Nurse,847-850-7613,eblissett6w@infoseek.co.jp,Palatine,United States,US,Illinois,2 Summerview Road,2018-08-12,66975-354,2019-04-03,Standard Class,Truck,60078,847308.19,2,0.3,diners-club-carte-blanche,30539136929073,Very Good,234,1373173.32,961221.324,961221.32,234
250,85 Schlimgen Junction,Geba,748-60-5619,9179,Hyundai,Sonata,Puce,2000,591827.18,63739-283,Kristofor Mobius,Male,Account Representative II,856-143-9887,kmobius6x@examiner.com,Camden,United States,US,New Jersey,08700 Shoshone Plaza,2018-10-13,66336-002,2019-02-23,First Class,Truck,8104,761593.6,1,0.43,jcb,3549403543907032,Bad,133,591827.18,337341.49260000006,337341.49,133
253,90 Morningstar Avenue,Shuffletag,501-34-1783,8884,Lamborghini,Murciélago LP640,Goldenrod,2008,698779.93,14783-323,Johannes Gentzsch,Male,Editor,704-956-6488,jgentzsch70@amazon.co.jp,Charlotte,United States,US,North Carolina,66149 Main Terrace,2018-07-29,49967-075,2019-01-14,First Class,Air,28263,907301.72,1,0.27,jcb,3585581790304659,Very Bad,169,698779.93,510109.3489,510109.35,169
256,8510 Hollow Ridge Way,Brainbox,435-89-0824,4549,Subaru,Legacy,Green,2009,781026.77,36800-647,Oran MacCrann,Male,Director of Sales,814-812-7417,omaccrann73@dell.com,Erie,United States,US,Pennsylvania,493 Memorial Avenue,2018-08-09,46122-028,2019-05-19,Same Day,Truck,16534,708543.0,2,0.38,diners-club-us-ca,5410675671368621,Very Bad,283,1562053.54,968473.1948,968473.19,283
258,808 Maple Wood Road,Jetwire,345-99-5630,8773,Subaru,Legacy,Pink,2010,788851.31,43458-1004,Dawna Crier,Female,Executive Secretary,602-896-0611,dcrier75@kickstarter.com,Phoenix,United States,US,Arizona,7324 Kinsman Road,2019-02-01,55289-463,2019-02-23,Second Class,Truck,85062,703566.96,1,0.52,jcb,3543563401976563,Very Good,22,788851.31,378648.6288,378648.63,22
259,6 Ronald Regan Drive,Mudo,159-44-1592,2103,Ford,F-Series Super Duty,Maroon,2010,556626.3,37808-437,Sigismondo Gillings,Male,Speech Pathologist,410-460-3425,sgillings76@reverbnation.com,Baltimore,United States,US,Maryland,45341 Daystar Trail,2018-09-25,54868-3157,2019-05-17,First Class,Air,21290,946609.07,2,0.41,mastercard,5100131817790992,Bad,234,1113252.6,656819.0340000001,656819.03,234
261,237 Charing Cross Drive,Voomm,289-73-0573,2169,Mercedes-Benz,CL-Class,Crimson,2004,798192.93,42411-043,Marta Collens,Female,Junior Executive,585-842-3258,mcollens78@ezinearticles.com,Rochester,United States,US,New York,78047 Sheridan Plaza,2018-08-19,52959-737,2019-03-07,Same Day,Truck,14646,752316.03,1,0.72,jcb,3569937233302355,Good,200,798192.93,223494.02040000004,223494.02,200
262,6832 Eggendart Park,Yamia,859-66-6522,4679,Audi,A6,Indigo,1996,716071.15,18860-678,Amy Roderigo,Female,Geologist II,434-116-0366,aroderigo79@chronoengine.com,Charlottesville,United States,US,Virginia,7229 Dryden Terrace,2018-10-30,53346-1323,2019-04-27,Same Day,Air,22903,740186.16,2,0.34,jcb,3583152784902320,Okay,179,1432142.3,945213.918,945213.92,179
263,8 Dapin Center,Blogtag,188-43-3442,529,Cadillac,Eldorado,Yellow,1999,662587.93,51060-045,Dione McPartling,Female,Help Desk Technician,478-506-3914,dmcpartling7a@diigo.com,Macon,United States,US,Georgia,2072 Sullivan Street,2018-12-11,65342-0100,2019-01-31,Second Class,Truck,31217,948713.24,1,0.78,visa-electron,4917661840500998,Very Good,51,662587.93,145769.34459999998,145769.34,51
264,22 Meadow Ridge Alley,Jayo,626-13-4141,3766,Dodge,Caliber,Orange,2007,550981.27,47593-359,Laurette Carn,Female,Developer IV,334-396-2155,lcarn7b@upenn.edu,Montgomery,United States,US,Alabama,93 Loomis Lane,2019-01-19,65903-247,2019-05-07,Second Class,Air,36177,983410.65,1,0.63,visa-electron,4175005879015311,Okay,108,550981.27,203863.0699,203863.07,108
267,440 Arizona Center,Linkbridge,504-57-9924,9001,Toyota,Tundra,Yellow,2008,609769.87,49349-866,Van Ayree,Male,Chemical Engineer,402-769-7150,vayree7e@github.com,Lincoln,United States,US,Nebraska,90198 Chinook Alley,2019-03-06,44911-0022,2019-06-09,Standard Class,Air,68583,885462.32,1,0.5,visa-electron,4508018547517574,Bad,95,609769.87,304884.935,304884.94,95
268,9083 Debra Crossing,Twinder,196-80-7223,8007,Subaru,Loyale,Khaki,1990,685084.75,49349-952,Lora Chomicki,Female,Sales Associate,214-909-4415,lchomicki7f@unblog.fr,Houston,United States,US,Texas,02 Johnson Avenue,2019-03-07,0378-1160,2019-04-20,Second Class,Truck,77005,732301.0,1,0.41,laser,63049026091215810,Bad,44,685084.75,404200.00250000006,404200.0,44
270,403 Bayside Parkway,Mynte,808-41-4378,9045,Gmc,1500,Yellow,1997,561693.79,59011-444,Jordan Heatlie,Male,Software Test Engineer IV,719-129-4996,jheatlie7h@bluehost.com,Colorado Springs,United States,US,Colorado,75 South Pass,2019-04-17,49614-228,2019-05-02,Standard Class,Truck,80915,924763.35,2,0.57,jcb,3541671823221690,Bad,15,1123387.58,483056.65940000006,483056.66,15
271,49 Merry Circle,Jatri,649-68-2842,4441,Volkswagen,Touareg 2,Khaki,2009,554922.83,49288-0176,Elvis Woollin,Male,GIS Technical Architect,334-720-4918,ewoollin7i@phoca.cz,Montgomery,United States,US,Alabama,9 Brentwood Drive,2018-07-17,55714-4409,2019-05-31,Second Class,Air,36119,829806.93,2,0.36,visa,4041591333505,Very Bad,318,1109845.66,710301.2224,710301.22,318
272,57 Trailsway Road,Twitterlist,150-57-2640,411,Chevrolet,Suburban 1500,Maroon,2001,649244.9,68752-025,Agathe Vanelli,Female,Assistant Professor,775-698-1030,avanelli7j@cisco.com,Reno,United States,US,Nevada,40 Waywood Junction,2019-01-08,55154-9429,2019-05-19,Same Day,Truck,89550,870746.72,2,0.67,diners-club-enroute,201940989171933,Bad,131,1298489.8,428501.634,428501.63,131
273,4 High Crossing Road,Jaxspan,843-67-9704,2591,Land Rover,Range Rover,Fuscia,2005,549060.9,63014-1600,Dannie Abba,Female,Web Designer II,330-304-8372,dabba7k@shareasale.com,Youngstown,United States,US,Ohio,12692 Ohio Park,2018-10-05,0093-4160,2019-05-31,Standard Class,Air,44505,756323.57,1,0.86,jcb,3559928230446206,Good,238,549060.9,76868.52600000001,76868.53,238
274,32339 Judy Court,Oloo,859-96-9189,4108,Oldsmobile,Aurora,Fuscia,1996,739662.76,16864-001,Chico Adrienne,Male,Sales Representative,203-491-1590,cadrienne7l@berkeley.edu,Norwalk,United States,US,Connecticut,67 Pawling Lane,2018-10-26,49035-202,2019-04-07,Standard Class,Truck,6854,762908.87,1,0.52,jcb,3536078751578496,Bad,163,739662.76,355038.1248,355038.12,163
276,57 Cambridge Terrace,Lazz,769-44-2351,4299,Plymouth,Laser,Maroon,1993,789584.18,14783-451,Deina Tallyn,Female,Software Engineer I,205-699-3632,dtallyn7n@auda.org.au,Birmingham,United States,US,Alabama,2211 Novick Avenue,2018-11-12,37205-187,2019-04-17,First Class,Truck,35242,740646.41,2,0.66,americanexpress,374622505451400,Okay,156,1579168.36,536917.2424,536917.24,156
278,7947 Mallory Trail,Lajo,740-59-3740,3222,Chevrolet,K5 Blazer,Purple,1995,700933.8,68387-802,Riley McGeechan,Male,Internal Auditor,406-295-0934,rmcgeechan7p@digg.com,Bozeman,United States,US,Montana,4237 Lien Park,2019-02-28,11673-245,2019-05-06,Standard Class,Air,59771,769660.81,2,0.34,jcb,3557673615173452,Okay,67,1401867.6,925232.616,925232.62,67
279,23 Buhler Street,Divavu,311-70-1584,612,Toyota,Avalon,Crimson,2005,750136.44,36987-2864,Nolly Kayser,Male,Safety Technician I,512-542-4541,nkayser7q@privacy.gov.au,Austin,United States,US,Texas,52 Pawling Crossing,2018-07-03,41250-854,2019-02-17,Standard Class,Air,78721,965227.41,1,0.65,diners-club-enroute,201941940510672,Okay,229,750136.44,262547.754,262547.75,229
280,0 Lakewood Junction,Meezzy,891-42-5567,3929,Kia,Soul,Violet,2012,630981.26,57237-025,Germain Darleston,Female,Account Representative IV,530-843-7188,gdarleston7r@woothemes.com,Chico,United States,US,California,47 Anhalt Park,2019-01-31,57520-0332,2019-04-23,Second Class,Truck,95973,880242.79,2,0.82,jcb,3537475331264739,Good,82,1261962.52,227153.25360000003,227153.25,82
281,1349 Huxley Crossing,Zoomdog,172-98-2152,8772,Acura,MDX,Red,2009,771998.97,0682-0334,Tiebout Pizzey,Male,Marketing Assistant,907-140-0701,tpizzey7s@unblog.fr,Anchorage,United States,US,Alaska,9 Dapin Point,2018-07-14,49999-338,2019-03-26,Standard Class,Air,99522,896282.31,2,0.25,jcb,3535851012066589,Bad,255,1543997.94,1157998.455,1157998.46,255
282,16053 Atwood Parkway,Youfeed,803-36-5701,7968,Subaru,Justy,Yellow,1988,770428.67,0258-3687,Natale Swabey,Male,Environmental Specialist,757-935-7324,nswabey7t@networkadvertising.org,Norfolk,United States,US,Virginia,204 Sunfield Hill,2018-10-03,68788-0384,2019-02-17,Second Class,Air,23514,843893.64,2,0.57,china-unionpay,56104464559606004,Very Bad,137,1540857.34,662568.6562000001,662568.66,137
283,74909 Ludington Trail,Gigabox,665-01-6932,8460,Mitsubishi,L300,Aquamarine,1990,691843.34,68258-3024,Stearne Fullerton,Male,Web Designer III,830-895-2597,sfullerton7u@newsvine.com,San Antonio,United States,US,Texas,645 Bellgrove Crossing,2018-07-29,49348-847,2019-01-16,First Class,Air,78230,978185.9,2,0.8,laser,6709615819572385391,Good,171,1383686.68,276737.33599999995,276737.34,171
